populate     填充
suppose      假设
assume       假设
observe      观察
represent    代表
behalf       代表，利益
machine      机
separator    分割器
specify      指明 
explicit     明确的
unambiguous  明确的
linefeed     换行符
properly     适当的
sufficient   足够
enough       足够
capability   能力
supply       提供
provide      提供
offer        提供
involved     涉及
general      一般
normally     一般
indicate     表示
denote       表示
signify      表示
retrieve     找回
present      当下
condition    条件
satisfy      满足
qualify      合格
review       评论
comment      评论,注释
seem         似乎
quite        相当
original     原版的
correct      正确
proper       正确
particular   特定
preceding    前
front        前
omit         忽略
ignore       忽略
instead      代替
constraint   约束
verify       校验
insensitive  不敏感
sensitive    敏感
combine      结合
integrate    整合,结合
intermixed   混杂的
precedence   优先权
priority     优先权
separated    分开的
comma        逗号
born         天生的
own          拥有
notice       注意,通知
notification 通知
note         注意
appear       出现
emerge       出现
appearance   出现
arise        出现
minimize     最小化
unique       独特
clause       条款
often        经常
frequently   经常
examine      检查
inspect      检查
meaningful   有意义的
fashion      方式
performed    已执行
identical    相同
same         相同
except       除了
case         案件
force        动力
ascend       升
order        命令
reverse      相反
descend      降
multiple     多
direction    方向
within       内
inside       内 
youngest     最年轻的
following    以下
applies      适用
immediately  立即
several      一些
extract      提取
part         部分
section      部分
determine    确定
express      表达
take         采取
alias        别名
final        最后
last         持续，最后
label        标签
tab          标签
scanned      已扫描
presented    呈现
rather       宁可
similar      类似
death        死亡
died         死
whether      是否
difference   差异
discrepancy  差异
compare      比较
discuss      讨论
irrelevant   不相关的
appropriate  适当
upcoming     即将来临
april        四月
complication 并发症
december     十二月
merely       仅仅
january      一月
matter       事项
enable       启用
interval     间隔
produce      产生
yield        产生
accomplish   完成
complete     完全的,完成，完整，齐全
task         任务
wrap         包
package      包
otherwise    除此以外,否则
invalid      无效
conceptually 从概念上讲
treated      处理过的
somewhat     有些
arithmetic   算术
demonstrate  演示
obtain       获得
gain         获得
treatment    对待
necessary    必要
regarded     被视为
equal        等于
whereas      而
thus         从而
entirely     完全
match        匹配
pattern      模式
standard     标准
normal       标准,正常
based        基于
extend       扩展
expand       扩展
arbitrary    任意的
exactly      刚好
synonym      同义词
brackets     括号
parentheses  括号
letter       字母
digit        数字
numeric      数字
being        存在
exist        存在
anchor       锚
must         必须
rewritten    改写
collation    校对
binary       二元
lowercase    小写
occur        发生
wildcard     通配符
either       要么
operate      操作
syntax       句法
certain      某些
might        或
or           要不，或
various      各种
kind         种类
species      种类
sort         种类
census       人口普查
conjunction  关联
under        下
process      处理,进程
handle       处理
nondeterministic  不确定的
behavior     行为
relate       有关
optimize     优化
track        跟踪
trace        跟踪
vet          兽医
litter       垃圾
garbage      垃圾
dump         垃圾,转储
pertain      属于
field        领域
categorize   分类
considerations  注意事项
statement    声明
easiest      最简单的
delimited    限定
define       限定
principle    原则
itself       本身
insufficient 不足
store        储存
require      要求
permit       允许
permission   允许
prepending   前置
breed        品种
